City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
362,Sinnamary,GF,76.35,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
367,Stephenville,US,77.34,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
369,Mount Isa,AU,89.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
374,Kieta,PG,81.39,light rain,-6.2167,155.6333,Uruna Bay Retreat
376,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
382,Soure,BR,78.39,light rain,-0.7167,-48.5233,Casarão da Amazônia
384,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Jebinrio home
389,Namibe,AO,75.72,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
391,Luwuk,ID,76.93,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
392,Atambua,ID,77.47,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
393,Rio Brilhante,BR,77.68,clear sky,-21.8019,-54.5464,Hotel Cattani
394,Todos Santos,MX,75.11,clear sky,23.45,-110.2167,Hotel California Todos Santos
397,Olinda,BR,83.93,broken clouds,-8.0089,-34.8553,Pousada Sitio Do Carmo
400,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
402,Roebourne,AU,87.48,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
